reference,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,reassigned_mse,reassignment_mse_relative_change
training_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0,0.0,1.0,0.024379962798265875,0.0009345864976034037,0.0
zero_return,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.0006932108329538167,0.0,,0.024455271431369163,0.0009339386321189327,0.0
