method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
learned_clip,2015,22,0.5454545454545454,0.45454545454545453,12,0.5470085470085471,0.5,0.5909090909090909,7,5,4,6,0.41025641025641024,0.2764324281881353,0.7477908555381386,0.48870372579197013,0.0854905541216708,-0.1022053651171208,0.0
learned_clip,2016,48,0.5,0.5,24,0.5,0.5,0.5416666666666666,13,11,11,13,0.506993006993007,0.26169337739409404,0.7166418173975592,0.4855942060101604,0.10915205514698398,-0.05607246065650623,0.0
learned_clip,2017,50,0.54,0.46,27,0.5308441558441558,0.58,0.56,17,10,12,11,0.5113636363636364,0.257472852004824,0.7089548314382309,0.5079447805080918,0.12541654919218861,-0.05205521949190828,0.0
learned_clip,2018,49,0.5918367346938775,0.40816326530612246,29,0.6309523809523809,0.7551020408163265,0.42857142857142855,19,10,18,2,0.6377551020408163,0.2439788112706951,0.6810785399505127,0.5420971227355562,0.07400012938530845,0.11352569416412767,0.0
learned_clip,2019,46,0.5434782608695652,0.45652173913043476,25,0.5770833333333334,0.41304347826086957,0.6521739130434783,14,11,5,16,0.6791666666666667,0.23213614418451103,0.6562002911863661,0.49405614229454486,0.11202308052771195,-0.1581177707489334,0.0
learned_clip,2020,46,0.5434782608695652,0.45652173913043476,25,0.5257936507936507,0.5869565217391305,0.6086956521739131,17,8,10,11,0.5535714285714286,0.24958428309335534,0.6929565204371997,0.5300785479893059,0.1159897099345493,-0.07861710418460721,0.0
learned_probe,2015,22,0.5454545454545454,0.45454545454545453,12,0.5470085470085471,0.5,0.5909090909090909,7,5,4,6,0.41025641025641024,0.2755449788222647,0.7459137527715378,0.4879905611907302,0.08506269521914107,-0.10291852971836074,0.0
learned_probe,2016,48,0.5,0.5,24,0.5,0.5,0.5416666666666666,13,11,11,13,0.5034965034965035,0.26145656738430456,0.7161170700168978,0.48565203905872134,0.10891351177296325,-0.05601462760794529,0.0
learned_probe,2017,50,0.54,0.46,27,0.5308441558441558,0.58,0.56,17,10,12,11,0.5162337662337663,0.25688155047953215,0.7077761898186458,0.5095056847462157,0.12469195177414297,-0.05049431525378434,0.0
learned_probe,2018,49,0.5918367346938775,0.40816326530612246,29,0.6309523809523809,0.7551020408163265,0.42857142857142855,19,10,18,2,0.6428571428571429,0.2441339081137442,0.6813523694199494,0.5437282186611958,0.0749445036873608,0.11515679008976726,0.0
