window,method,bin_index,lower,upper,n,mean_probability,observed_frequency
early_2015_2017,learned_clip,0,0.0,0.2,0,,
early_2015_2017,learned_clip,1,0.2,0.4,30,0.3436704889555894,0.5333333333333333
early_2015_2017,learned_clip,2,0.4,0.6,63,0.5040148378691209,0.6031746031746031
early_2015_2017,learned_clip,3,0.6,0.8,27,0.6442293861812346,0.48148148148148145
early_2015_2017,learned_clip,4,0.8,1.0,0,,
early_2015_2017,learned_probe,0,0.0,0.2,0,,
early_2015_2017,learned_probe,1,0.2,0.4,30,0.34554353818084227,0.5333333333333333
early_2015_2017,learned_probe,2,0.4,0.6,63,0.5038266020156194,0.6031746031746031
early_2015_2017,learned_probe,3,0.6,0.8,27,0.6449997179968963,0.48148148148148145
early_2015_2017,learned_probe,4,0.8,1.0,0,,
early_2015_2017,neutral_50,0,0.0,0.2,0,,
early_2015_2017,neutral_50,1,0.2,0.4,0,,
early_2015_2017,neutral_50,2,0.4,0.6,120,0.5,0.5583333333333333
early_2015_2017,neutral_50,3,0.6,0.8,0,,
early_2015_2017,neutral_50,4,0.8,1.0,0,,
early_2015_2017,raw25_clip,0,0.0,0.2,3,0.16137291732318174,0.3333333333333333
early_2015_2017,raw25_clip,1,0.2,0.4,54,0.3343610501139211,0.6111111111111112
early_2015_2017,raw25_clip,2,0.4,0.6,55,0.46721974034367225,0.5272727272727272
early_2015_2017,raw25_clip,3,0.6,0.8,8,0.6843238305664612,0.5
early_2015_2017,raw25_clip,4,0.8,1.0,0,,
early_2015_2017,raw25_probe,0,0.0,0.2,5,0.11816356948443965,0.4
early_2015_2017,raw25_probe,1,0.2,0.4,56,0.32520129356619226,0.6071428571428571
early_2015_2017,raw25_probe,2,0.4,0.6,52,0.4491548675858079,0.5192307692307693
early_2015_2017,raw25_probe,3,0.6,0.8,6,0.7022210773465952,0.6666666666666666
early_2015_2017,raw25_probe,4,0.8,1.0,1,0.8495225599028958,0.0
early_2015_2017,training_frequency,0,0.0,0.2,0,,
early_2015_2017,training_frequency,1,0.2,0.4,0,,
early_2015_2017,training_frequency,2,0.4,0.6,120,0.5028032426476259,0.5583333333333333
early_2015_2017,training_frequency,3,0.6,0.8,0,,
early_2015_2017,training_frequency,4,0.8,1.0,0,,
late_2018_2020,learned_clip,0,0.0,0.2,0,,
late_2018_2020,learned_clip,1,0.2,0.4,18,0.35631342887418693,0.5555555555555556
late_2018_2020,learned_clip,2,0.4,0.6,89,0.5038247274402413,0.5168539325842697
late_2018_2020,learned_clip,3,0.6,0.8,34,0.6593797736818396,0.6764705882352942
late_2018_2020,learned_clip,4,0.8,1.0,0,,
late_2018_2020,learned_probe,0,0.0,0.2,0,,
late_2018_2020,learned_probe,1,0.2,0.4,19,0.35791198328208174,0.5789473684210527
late_2018_2020,learned_probe,2,0.4,0.6,87,0.5043776916730924,0.5057471264367817
late_2018_2020,learned_probe,3,0.6,0.8,35,0.6592170272877801,0.6857142857142857
late_2018_2020,learned_probe,4,0.8,1.0,0,,
late_2018_2020,neutral_50,0,0.0,0.2,0,,
late_2018_2020,neutral_50,1,0.2,0.4,0,,
late_2018_2020,neutral_50,2,0.4,0.6,141,0.5,0.5602836879432624
late_2018_2020,neutral_50,3,0.6,0.8,0,,
late_2018_2020,neutral_50,4,0.8,1.0,0,,
late_2018_2020,raw25_clip,0,0.0,0.2,0,,
late_2018_2020,raw25_clip,1,0.2,0.4,11,0.3585648839854503,0.5454545454545454
late_2018_2020,raw25_clip,2,0.4,0.6,109,0.4989424561204321,0.5688073394495413
late_2018_2020,raw25_clip,3,0.6,0.8,20,0.6386177038199179,0.5
late_2018_2020,raw25_clip,4,0.8,1.0,1,0.8118520787064786,1.0
late_2018_2020,raw25_probe,0,0.0,0.2,1,0.18926135338063205,1.0
late_2018_2020,raw25_probe,1,0.2,0.4,16,0.36543668688244935,0.5
late_2018_2020,raw25_probe,2,0.4,0.6,102,0.4995686450543378,0.5686274509803921
late_2018_2020,raw25_probe,3,0.6,0.8,21,0.6345653830390136,0.5238095238095238
late_2018_2020,raw25_probe,4,0.8,1.0,1,0.8223790062451852,1.0
late_2018_2020,training_frequency,0,0.0,0.2,0,,
late_2018_2020,training_frequency,1,0.2,0.4,0,,
late_2018_2020,training_frequency,2,0.4,0.6,141,0.5176998256336885,0.5602836879432624
late_2018_2020,training_frequency,3,0.6,0.8,0,,
late_2018_2020,training_frequency,4,0.8,1.0,0,,
