history,method,date,year,actual_up,up_seed_count,unanimous,mean_probability,ensemble_up,opposes_majority,seed_probability_variance,probability_seed_1,probability_seed_2,probability_seed_3
full,learned_market,2021-01-08,2021,0,2,False,0.5446803024843522,True,False,0.0014928735045984711,0.5941116344020723,0.54013188288011,0.49979739017087427
full,learned_market,2021-01-15,2021,1,2,False,0.539099851667053,True,False,0.0071477978085883985,0.5968895018464272,0.6008524973749109,0.41955755577982096
full,learned_market,2021-01-22,2021,0,1,False,0.4309686395784236,False,False,0.008725137019087852,0.5499727655940133,0.3218055352798844,0.4211276178613729
full,learned_market,2021-01-29,2021,1,2,False,0.4640577677980731,False,True,0.010366524137234356,0.5029568060933052,0.32454603635769996,0.5646704609432143
full,learned_market,2021-02-05,2021,1,2,False,0.5321729029898637,True,False,0.0034454732639544517,0.5772474980858514,0.4492665690603667,0.570004641823373
full,learned_market,2021-02-19,2021,0,2,False,0.493509767771717,False,True,0.01388684846235822,0.5643764287579828,0.3274483010902782,0.58870457346689
full,learned_market,2021-02-26,2021,0,3,True,0.5841244280946073,True,False,0.005447980176439565,0.5010070123278244,0.6803694383017814,0.5709968336542159
full,learned_market,2021-03-05,2021,0,2,False,0.5125776227375358,True,False,0.003198247639304784,0.528258862043063,0.4368183347428556,0.5726556714266888
full,learned_market,2021-03-12,2021,0,3,True,0.5437446401112173,True,False,0.0024437562268742005,0.5073860465254234,0.6136363517061577,0.5102115221020709
full,learned_market,2021-03-19,2021,1,3,True,0.5904157946114548,True,False,0.0002492627681231556,0.6079397658322535,0.5936361700653113,0.5696714479367995
full,learned_market,2021-03-26,2021,1,1,False,0.5017037862153538,True,True,0.00396090203691191,0.5851842732365388,0.4332313660182811,0.4866957193912419
full,learned_market,2021-04-02,2021,0,2,False,0.5768840666289576,True,False,0.005190144621639881,0.4804514803578295,0.6535746316824459,0.5966260878465978
full,learned_market,2021-04-09,2021,0,2,False,0.4917194561413088,False,True,0.005955780337258434,0.5402842721258707,0.3827921162737119,0.5520819800243438
full,learned_market,2021-04-16,2021,1,3,True,0.6388672113668669,True,False,0.000690531871098893,0.6050445814811904,0.642443606461399,0.6691134461580113
full,learned_market,2021-04-23,2021,0,3,True,0.6086764207655317,True,False,0.0022405829237042998,0.6420474548722396,0.5417350090574893,0.6422467983668665
full,learned_market,2021-04-30,2021,0,2,False,0.5623585444037192,True,False,0.013638216094410653,0.618631034828209,0.3997515616398224,0.6686930367431263
full,learned_market,2021-05-07,2021,1,2,False,0.5206898376038659,True,False,0.004015015960936688,0.5559491208881214,0.43171518108252255,0.5744052108409538
full,learned_market,2021-05-14,2021,1,1,False,0.46260805380106723,False,False,0.0036233573822404227,0.4299537787614421,0.41085208170778986,0.5470183009339697
full,learned_market,2021-05-21,2021,1,2,False,0.5445893878180162,True,False,0.0012050305581865447,0.5579396435017837,0.49700125663778855,0.5788272633144764
full,learned_market,2021-05-28,2021,0,3,True,0.5548373743798783,True,False,0.0006904911044205829,0.5335525051225622,0.5390988990137108,0.5918607190033621
full,learned_market,2021-06-04,2021,0,1,False,0.4997690058581095,False,False,0.0025554522886269146,0.46074051989034465,0.5711557983767734,0.4674106993072105
full,learned_market,2021-06-11,2021,0,1,False,0.3956659903263198,False,False,0.009874580564222349,0.30231552824028335,0.5333145101280508,0.3513679326106253
full,learned_market,2021-06-18,2021,1,0,True,0.4076527650450841,False,False,0.0049491623023664895,0.3270916251767591,0.49849191991679076,0.3973747500417025
full,learned_market,2021-06-25,2021,0,1,False,0.4181453886391775,False,False,0.016763843917076342,0.4073838624749509,0.5818262087066786,0.26522609473590303
full,learned_market,2021-07-02,2021,1,0,True,0.34429478131564545,False,False,0.014325879507277114,0.3880544708771055,0.180807604669545,0.4640222684002859
full,learned_market,2021-07-09,2021,0,0,True,0.367138576768185,False,False,0.004747583252207398,0.3681098057747882,0.282268915111564,0.45103700941820296
full,learned_market,2021-07-16,2021,0,2,False,0.5096109252985174,True,False,0.01105477817885659,0.554884746083031,0.36431645039447147,0.6096315794180496
full,learned_market,2021-07-23,2021,0,1,False,0.4987337332009429,False,False,0.01497860038178774,0.6489832158617767,0.34919985067943665,0.4980181330616154
full,learned_market,2021-07-30,2021,1,3,True,0.6096332287503922,True,False,0.0021220662037847167,0.6311258348357944,0.5456267133684563,0.6521471380469257
full,learned_market,2021-08-06,2021,1,2,False,0.5402163588797444,True,False,0.012056826683446086,0.6405301394323993,0.38740422471108343,0.5927147124957504
full,learned_market,2021-08-13,2021,0,3,True,0.6597416064801386,True,False,0.0008455095355050543,0.6777344317301957,0.6187224209755129,0.6827679667347072
full,learned_market,2021-08-20,2021,1,2,False,0.5331959979757238,True,False,0.042249032327505286,0.6562300842129026,0.24359890595084635,0.6997590037634225
full,learned_market,2021-08-27,2021,0,2,False,0.6176920509528393,True,False,0.016225299977916382,0.6787550769694528,0.440390547458925,0.7339305284301403
full,learned_market,2021-09-03,2021,1,3,True,0.6847798963293661,True,False,0.00122355477139479,0.7296161207536952,0.6804619744924595,0.6442615937419436
full,learned_market,2021-09-10,2021,0,2,False,0.5261616928351899,True,False,0.0014165986551201932,0.47911377939275535,0.5281271625219424,0.5712441365908718
full,learned_market,2021-09-17,2021,1,1,False,0.5136394881026306,True,True,0.005051216709891515,0.6088747360491594,0.49385189694033615,0.43819183131839634
full,learned_market,2021-09-24,2021,1,2,False,0.5578836426365762,True,False,0.010795083375946299,0.6281479389451147,0.6345093647291886,0.410993624235425
full,learned_market,2021-10-08,2021,0,3,True,0.5970464422070828,True,False,0.0002090649558625701,0.6110676625216874,0.5771458565082659,0.602925807591295
full,learned_market,2021-10-15,2021,1,2,False,0.5586780111578675,True,False,0.001922564153162046,0.4970553803978116,0.5835031120913169,0.5954755409844741
full,learned_market,2021-10-22,2021,0,1,False,0.4696641190740794,False,False,0.006081733739282989,0.37408081462424897,0.5651052680619485,0.46980627453604074
full,learned_market,2021-10-29,2021,0,2,False,0.5543632017799981,True,False,0.002405652357977964,0.6172011032041493,0.5483809793446378,0.4975075227912074
full,learned_market,2021-11-05,2021,1,2,False,0.5381299100113716,True,False,0.0010777358352781063,0.49411412660027676,0.5473486711386566,0.5729269322951815
full,learned_market,2021-11-12,2021,1,3,True,0.6576894398582318,True,False,0.006116395748383027,0.5940313701712117,0.7678468300104447,0.6111901193930389
full,learned_market,2021-11-19,2021,0,1,False,0.44347929302330197,False,False,0.008884229506419448,0.32860118267770444,0.5594726741011755,0.4423640222910259
full,learned_market,2021-11-26,2021,1,1,False,0.5096516205573974,True,True,0.008736641020301953,0.4058270082228263,0.63241799460815,0.49070985884121593
full,learned_market,2021-12-03,2021,1,2,False,0.5385205103887323,True,False,0.00669924520135698,0.4233471124572967,0.6061164105578866,0.5860980081510134
full,learned_market,2021-12-10,2021,0,2,False,0.5219969847223852,True,False,0.011032351304591612,0.3775100912202532,0.5643877906947012,0.6240930722522012
full,learned_market,2021-12-17,2021,0,3,True,0.7189392113998232,True,False,0.006471687504589515,0.6603545759522641,0.8326910556673368,0.6637720025798686
full,learned_market,2021-12-24,2021,1,1,False,0.6124784674040682,True,True,0.04019365337497911,0.45409280470185437,0.8953277900591698,0.48801480745118037
full,learned_market,2021-12-31,2021,0,3,True,0.7247489885380395,True,False,0.014269437652346437,0.6332156798543996,0.8934806644493642,0.6475506213103547
full,learned_market,2022-01-07,2022,0,2,False,0.5459628839140932,True,False,0.00685676480574696,0.5111212788190983,0.6602066905692083,0.46656068235397286
full,learned_market,2022-01-14,2022,1,1,False,0.5260578959133533,True,True,0.0027872233221595574,0.480461369279458,0.4976550600972482,0.6000572583633537
full,learned_market,2022-01-21,2022,0,3,True,0.6980502816240929,True,False,0.012923389736395244,0.8585817146658247,0.6102129827871666,0.6253561474192877
full,learned_market,2022-01-28,2022,0,1,False,0.5475740328095383,True,True,0.007635718572562777,0.670707641800827,0.4950716428801806,0.4769428137476076
full,learned_market,2022-02-11,2022,1,0,True,0.4296720781004934,False,False,0.0010163507641626458,0.4722946949921091,0.42108910588637294,0.39563243342299814
full,learned_market,2022-02-18,2022,0,2,False,0.5106945910041553,True,False,0.0009429924911283023,0.5367276730689069,0.46757493193809596,0.5277811680054632
full,learned_market,2022-02-25,2022,0,0,True,0.448077278877631,False,False,0.00041528759054667636,0.44678088841894925,0.4237921447132868,0.4736588035006567
full,learned_market,2022-03-04,2022,0,2,False,0.5484859138381405,True,False,0.0034815222204312413,0.584888958136379,0.595310518015385,0.4652582653626574
