job,training_rows,heldout_rows,maximum_forecast_error
learned_order_shrink4_2014-12-31_20260910,1077,22,1.1102230246251565e-16
learned_order_shrink4_2014-12-31_20260911,1077,22,1.1102230246251565e-16
learned_order_shrink4_2014-12-31_20260912,1077,22,1.1102230246251565e-16
learned_order_shrink4_2015-12-31_20260910,1190,48,1.1102230246251565e-16
learned_order_shrink4_2015-12-31_20260911,1190,48,1.1102230246251565e-16
learned_order_shrink4_2015-12-31_20260912,1190,48,1.1102230246251565e-16
learned_order_shrink4_2016-12-31_20260910,1434,50,1.1102230246251565e-16
learned_order_shrink4_2016-12-31_20260911,1434,50,1.1102230246251565e-16
learned_order_shrink4_2016-12-31_20260912,1434,50,1.1102230246251565e-16
learned_order_shrink4_2017-12-31_20260910,1678,49,1.1102230246251565e-16
learned_order_shrink4_2017-12-31_20260911,1678,49,1.6653345369377348e-16
learned_order_shrink4_2017-12-31_20260912,1678,49,1.1102230246251565e-16
learned_order_shrink4_2018-12-31_20260910,1921,46,1.1102230246251565e-16
learned_order_shrink4_2018-12-31_20260911,1921,46,1.1102230246251565e-16
learned_order_shrink4_2018-12-31_20260912,1921,46,1.1102230246251565e-16
learned_order_shrink4_2019-12-31_20260910,2165,46,1.1102230246251565e-16
learned_order_shrink4_2019-12-31_20260911,2165,46,1.1102230246251565e-16
learned_order_shrink4_2019-12-31_20260912,2165,46,1.1102230246251565e-16
learned_order_shrink16_2014-12-31_20260910,1077,22,1.1102230246251565e-16
learned_order_shrink16_2014-12-31_20260911,1077,22,1.1102230246251565e-16
learned_order_shrink16_2014-12-31_20260912,1077,22,1.1102230246251565e-16
learned_order_shrink16_2015-12-31_20260910,1190,48,1.1102230246251565e-16
learned_order_shrink16_2015-12-31_20260911,1190,48,1.1102230246251565e-16
learned_order_shrink16_2015-12-31_20260912,1190,48,1.1102230246251565e-16
learned_order_shrink16_2016-12-31_20260910,1434,50,1.1102230246251565e-16
learned_order_shrink16_2016-12-31_20260911,1434,50,1.1102230246251565e-16
learned_order_shrink16_2016-12-31_20260912,1434,50,1.1102230246251565e-16
learned_order_shrink16_2017-12-31_20260910,1678,49,1.1102230246251565e-16
learned_order_shrink16_2017-12-31_20260911,1678,49,1.1102230246251565e-16
learned_order_shrink16_2017-12-31_20260912,1678,49,1.1102230246251565e-16
learned_order_shrink16_2018-12-31_20260910,1921,46,1.1102230246251565e-16
learned_order_shrink16_2018-12-31_20260911,1921,46,1.1102230246251565e-16
learned_order_shrink16_2018-12-31_20260912,1921,46,1.1102230246251565e-16
learned_order_shrink16_2019-12-31_20260910,2165,46,1.1102230246251565e-16
learned_order_shrink16_2019-12-31_20260911,2165,46,1.1102230246251565e-16
learned_order_shrink16_2019-12-31_20260912,2165,46,1.1102230246251565e-16
raw_order_shrink4_2014-12-31_-1,1077,22,1.1102230246251565e-16
raw_order_shrink4_2015-12-31_-1,1190,48,1.1102230246251565e-16
raw_order_shrink4_2016-12-31_-1,1434,50,1.1102230246251565e-16
raw_order_shrink4_2017-12-31_-1,1678,49,1.1102230246251565e-16
raw_order_shrink4_2018-12-31_-1,1921,46,1.6653345369377348e-16
raw_order_shrink4_2019-12-31_-1,2165,46,1.1102230246251565e-16
raw_order_shrink16_2014-12-31_-1,1077,22,1.1102230246251565e-16
raw_order_shrink16_2015-12-31_-1,1190,48,1.1102230246251565e-16
raw_order_shrink16_2016-12-31_-1,1434,50,1.1102230246251565e-16
raw_order_shrink16_2017-12-31_-1,1678,49,1.1102230246251565e-16
raw_order_shrink16_2018-12-31_-1,1921,46,1.1102230246251565e-16
raw_order_shrink16_2019-12-31_-1,2165,46,1.1102230246251565e-16
