period,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,fixed_transform_step50,learned_market,49,0.32653061224489793,0.673469387755102,16,0.36120689655172417,0.7142857142857143,0.40816326530612246,11,5,24,9,0.33793103448275863,0.30042890044209086,0.7973203204634093,0.5708179945686543,0.08640573989122788,0.16265472926253188,0.0
year_2022,fixed_transform_step50,learned_order_extension,49,0.32653061224489793,0.673469387755102,16,0.36896551724137927,0.7551020408163265,0.40816326530612246,12,4,25,8,0.36379310344827587,0.2931375682251487,0.7818520266060845,0.5618572626123282,0.08240964225205646,0.1536939973062057,0.0
year_2022,fixed_transform_step50,learned_order_offset,49,0.32653061224489793,0.673469387755102,16,0.36896551724137927,0.7551020408163265,0.40816326530612246,12,4,25,8,0.3586206896551724,0.2925245864616933,0.7805665441152003,0.5611588606295784,0.08176759584006876,0.15299559532345597,0.0
year_2022,fixed_transform_step50,learned_vol_interaction,49,0.30612244897959184,0.6938775510204082,15,0.34396551724137936,0.7346938775510204,0.40816326530612246,11,4,25,9,0.3448275862068966,0.3008074262437902,0.7981739081931906,0.5705540068805957,0.08711916766006683,0.1623907415744732,0.0
year_2022,fixed_transform_step50,native_mse,49,0.40816326530612246,0.5918367346938775,20,0.45344827586206893,0.7551020408163265,0.40816326530612246,14,6,23,6,0.3620689655172414,,,,,,
year_2022,fixed_transform_step50,training_frequency,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.39482758620689656,0.25789333176809665,0.7089673793496496,0.5288005669551457,0.011759480575323231,0.1206373016490232,0.0
year_2022,rolling5_annual20,learned_market,49,0.3673469387755102,0.6326530612244898,18,0.41120689655172415,0.7551020408163265,0.40816326530612246,13,5,24,7,0.3448275862068966,0.3057236543478833,0.8102759838972978,0.5824516815310631,0.09414071419910733,0.17428841622494062,0.0
year_2022,rolling5_annual20,learned_order_extension,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.35,0.3034151187049206,0.8049755855765076,0.5780142732516887,0.09455929907483387,0.1698510079455663,0.0
year_2022,rolling5_annual20,learned_order_offset,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.34655172413793106,0.30336212513532623,0.8048420672885294,0.5778024908771058,0.09445119828461537,0.16963922557098332,0.0
year_2022,rolling5_annual20,learned_vol_interaction,49,0.42857142857142855,0.5714285714285714,21,0.4706896551724138,0.7346938775510204,0.40816326530612246,14,7,22,6,0.35344827586206895,0.3060813859219992,0.8112470859347125,0.5814293980928159,0.09627109205038982,0.17326613278669345,0.0
year_2022,rolling5_annual20,native_mse,49,0.40816326530612246,0.5918367346938775,20,0.45344827586206893,0.7551020408163265,0.40816326530612246,14,6,23,6,0.3620689655172414,,,,,,
year_2022,rolling5_annual20,training_frequency,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.5,0.2605181144451977,0.7142485422142615,0.545829892650702,1.1102230246251565e-16,0.13766662734457957,0.0
year_2022,rolling5_matched,learned_market,49,0.2857142857142857,0.7142857142857143,14,0.3112068965517242,0.673469387755102,0.40816326530612246,9,5,24,11,0.31896551724137934,0.35331984713996617,0.9217753777959287,0.5739527138923535,0.18091928017141676,0.16578944858623101,0.0
