history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_net_quarter_head,learned_market,2021,50,0.56,0.44,28,0.573268921095008,0.66,0.46,17,11,16,6,0.5458937198067633,0.2563126460941869,0.7079925450708474,0.5495542351152447,0.10564595179351541,0.08955423511524468,0.0
annual_net_quarter_head,learned_market,2022,49,0.32653061224489793,0.673469387755102,16,0.36120689655172417,0.7142857142857143,0.40816326530612246,11,5,24,9,0.3310344827586207,0.295646958008164,0.7866508255077371,0.5583685763674932,0.08270537190810634,0.1502053110613707,0.0
annual_net_quarter_head,learned_market,2023,48,0.4375,0.5625,21,0.43466424682395643,0.5,0.3958333333333333,8,13,16,11,0.37749546279491836,0.27454006427637184,0.7436828357799624,0.5020508419250974,0.08797194251123346,0.1062175085917641,0.0
annual_net_quarter_head,learned_market,2024,47,0.6382978723404256,0.3617021276595745,30,0.6327272727272727,0.40425531914893614,0.46808510638297873,12,18,7,10,0.7381818181818182,0.22145365607513848,0.6347644945645249,0.4740846404053905,0.09471053395031362,0.005999534022411768,0.0
annual_net_quarter_head,learned_market,2025,48,0.4583333333333333,0.5416666666666666,22,0.5111111111111111,0.2916666666666667,0.625,9,13,5,21,0.512962962962963,0.2668939834662015,0.7291964108167406,0.45635911128814427,0.08528516495290792,-0.16864088871185573,0.0
annual_net_quarter_head,learned_market,2026,30,0.36666666666666664,0.6333333333333333,11,0.3660714285714286,0.5,0.4666666666666667,5,6,10,9,0.3080357142857143,0.26495056098605685,0.7231238225083698,0.49560017211373203,0.045622635025934326,0.028933505447065355,0.0
annual_net_quarter_head,learned_order_extension,2021,50,0.56,0.44,28,0.5764895330112721,0.7,0.46,18,10,17,5,0.5523349436392915,0.25762451378546425,0.7115321439105994,0.5541402844094692,0.12630076666284093,0.09414028440946914,0.0
annual_net_quarter_head,learned_order_extension,2022,49,0.30612244897959184,0.6938775510204082,15,0.33620689655172414,0.6938775510204082,0.40816326530612246,10,5,24,10,0.3620689655172414,0.2853853706885426,0.7657699602141566,0.5443889306662674,0.081125358857235,0.1362256653601449,0.0
annual_net_quarter_head,learned_order_extension,2023,48,0.4583333333333333,0.5416666666666666,22,0.4791288566243194,0.6041666666666666,0.3958333333333333,11,11,18,8,0.40653357531760437,0.26940815059270995,0.7327414209219119,0.5130830331408939,0.0724119353002548,0.11724969980756056,0.0
annual_net_quarter_head,learned_order_extension,2024,47,0.6595744680851063,0.3404255319148936,31,0.65,0.3404255319148936,0.46808510638297873,11,20,5,11,0.6981818181818182,0.22957503425517478,0.6515510904104388,0.46663287728150155,0.08367285778097204,-0.001452229101477187,0.0
annual_net_quarter_head,learned_order_extension,2025,48,0.5,0.5,24,0.5444444444444444,0.3333333333333333,0.625,11,13,5,19,0.5185185185185185,0.267225815676839,0.7304596146165432,0.4606439593882771,0.09568913784365161,-0.16435604061172288,0.0
