Fitted 4/204 quarter heads: 2021-03-31, annual encoder 2020-12-31, seed 20260910; no weekly scoring.
Fitted 8/204 quarter heads: 2021-03-31, annual encoder 2020-12-31, seed 20260911; no weekly scoring.
Fitted 12/204 quarter heads: 2021-03-31, annual encoder 2020-12-31, seed 20260912; no weekly scoring.
Fitted 16/204 quarter heads: 2021-06-30, annual encoder 2020-12-31, seed 20260910; no weekly scoring.
Fitted 20/204 quarter heads: 2021-06-30, annual encoder 2020-12-31, seed 20260911; no weekly scoring.
Fitted 24/204 quarter heads: 2021-06-30, annual encoder 2020-12-31, seed 20260912; no weekly scoring.
Fitted 28/204 quarter heads: 2021-09-30, annual encoder 2020-12-31, seed 20260910; no weekly scoring.
Fitted 32/204 quarter heads: 2021-09-30, annual encoder 2020-12-31, seed 20260911; no weekly scoring.
Fitted 36/204 quarter heads: 2021-09-30, annual encoder 2020-12-31, seed 20260912; no weekly scoring.
Fitted 40/204 quarter heads: 2022-03-31, annual encoder 2021-12-31, seed 20260910; no weekly scoring.
Fitted 44/204 quarter heads: 2022-03-31, annual encoder 2021-12-31, seed 20260911; no weekly scoring.
Fitted 48/204 quarter heads: 2022-03-31, annual encoder 2021-12-31, seed 20260912; no weekly scoring.
Fitted 52/204 quarter heads: 2022-06-30, annual encoder 2021-12-31, seed 20260910; no weekly scoring.
Fitted 56/204 quarter heads: 2022-06-30, annual encoder 2021-12-31, seed 20260911; no weekly scoring.
Fitted 60/204 quarter heads: 2022-06-30, annual encoder 2021-12-31, seed 20260912; no weekly scoring.
Fitted 64/204 quarter heads: 2022-09-30, annual encoder 2021-12-31, seed 20260910; no weekly scoring.
Fitted 68/204 quarter heads: 2022-09-30, annual encoder 2021-12-31, seed 20260911; no weekly scoring.
Fitted 72/204 quarter heads: 2022-09-30, annual encoder 2021-12-31, seed 20260912; no weekly scoring.
Fitted 76/204 quarter heads: 2023-03-31, annual encoder 2022-12-31, seed 20260910; no weekly scoring.
Fitted 80/204 quarter heads: 2023-03-31, annual encoder 2022-12-31, seed 20260911; no weekly scoring.
Fitted 84/204 quarter heads: 2023-03-31, annual encoder 2022-12-31, seed 20260912; no weekly scoring.
Fitted 88/204 quarter heads: 2023-06-30, annual encoder 2022-12-31, seed 20260910; no weekly scoring.
Fitted 92/204 quarter heads: 2023-06-30, annual encoder 2022-12-31, seed 20260911; no weekly scoring.
Fitted 96/204 quarter heads: 2023-06-30, annual encoder 2022-12-31, seed 20260912; no weekly scoring.
Fitted 100/204 quarter heads: 2023-09-30, annual encoder 2022-12-31, seed 20260910; no weekly scoring.
Fitted 104/204 quarter heads: 2023-09-30, annual encoder 2022-12-31, seed 20260911; no weekly scoring.
Fitted 108/204 quarter heads: 2023-09-30, annual encoder 2022-12-31, seed 20260912; no weekly scoring.
Fitted 112/204 quarter heads: 2024-03-31, annual encoder 2023-12-31, seed 20260910; no weekly scoring.
Fitted 116/204 quarter heads: 2024-03-31, annual encoder 2023-12-31, seed 20260911; no weekly scoring.
Fitted 120/204 quarter heads: 2024-03-31, annual encoder 2023-12-31, seed 20260912; no weekly scoring.
Fitted 124/204 quarter heads: 2024-06-30, annual encoder 2023-12-31, seed 20260910; no weekly scoring.
Fitted 128/204 quarter heads: 2024-06-30, annual encoder 2023-12-31, seed 20260911; no weekly scoring.
Fitted 132/204 quarter heads: 2024-06-30, annual encoder 2023-12-31, seed 20260912; no weekly scoring.
Fitted 136/204 quarter heads: 2024-09-30, annual encoder 2023-12-31, seed 20260910; no weekly scoring.
Fitted 140/204 quarter heads: 2024-09-30, annual encoder 2023-12-31, seed 20260911; no weekly scoring.
Fitted 144/204 quarter heads: 2024-09-30, annual encoder 2023-12-31, seed 20260912; no weekly scoring.
Fitted 148/204 quarter heads: 2025-03-31, annual encoder 2024-12-31, seed 20260910; no weekly scoring.
Fitted 152/204 quarter heads: 2025-03-31, annual encoder 2024-12-31, seed 20260911; no weekly scoring.
Fitted 156/204 quarter heads: 2025-03-31, annual encoder 2024-12-31, seed 20260912; no weekly scoring.
Fitted 160/204 quarter heads: 2025-06-30, annual encoder 2024-12-31, seed 20260910; no weekly scoring.
Fitted 164/204 quarter heads: 2025-06-30, annual encoder 2024-12-31, seed 20260911; no weekly scoring.
Fitted 168/204 quarter heads: 2025-06-30, annual encoder 2024-12-31, seed 20260912; no weekly scoring.
Fitted 172/204 quarter heads: 2025-09-30, annual encoder 2024-12-31, seed 20260910; no weekly scoring.
Fitted 176/204 quarter heads: 2025-09-30, annual encoder 2024-12-31, seed 20260911; no weekly scoring.
Fitted 180/204 quarter heads: 2025-09-30, annual encoder 2024-12-31, seed 20260912; no weekly scoring.
Fitted 184/204 quarter heads: 2026-03-31, annual encoder 2025-12-31, seed 20260910; no weekly scoring.
Fitted 188/204 quarter heads: 2026-03-31, annual encoder 2025-12-31, seed 20260911; no weekly scoring.
Fitted 192/204 quarter heads: 2026-03-31, annual encoder 2025-12-31, seed 20260912; no weekly scoring.
Fitted 196/204 quarter heads: 2026-06-30, annual encoder 2025-12-31, seed 20260910; no weekly scoring.
Fitted 200/204 quarter heads: 2026-06-30, annual encoder 2025-12-31, seed 20260911; no weekly scoring.
Fitted 204/204 quarter heads: 2026-06-30, annual encoder 2025-12-31, seed 20260912; no weekly scoring.

EXIT_CODE=0
